company,complaints,timely_pct,avg_days_to_route,narrative_pct
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",77147,100.0,0.1,0.0
"EQUIFAX, INC.",72165,100.0,0.1,0.0
Experian Information Solutions Inc.,66675,100.0,0.08,0.0
CAPITAL ONE FINANCIAL CORPORATION,1447,100.0,1.03,0.0
"Block, Inc.",1217,98.27,0.7,0.0
JPMORGAN CHASE & CO.,1133,100.0,0.87,0.0
"CBC Companies, Inc.",996,99.9,0.24,0.0
LEXISNEXIS,996,99.1,0.18,0.0
Resurgent Capital Services L.P.,993,100.0,0.51,0.0
"CITIBANK, N.A.",972,100.0,1.94,0.0
WELLS FARGO & COMPANY,969,100.0,0.86,0.0
"BANK OF AMERICA, NATIONAL ASSOCIATION",941,99.36,0.94,0.0
CL Holdings LLC,848,100.0,0.65,0.0
ENCORE CAPITAL GROUP INC.,804,100.0,0.85,0.0
"Portfolio Recovery Associates, LLC",739,99.19,0.61,0.0
SYNCHRONY FINANCIAL,687,98.11,2.77,0.0
NAVY FEDERAL CREDIT UNION,630,100.0,0.3,0.0
"Early Warning Services, LLC",598,100.0,0.25,0.0
AMERICAN EXPRESS COMPANY,509,99.61,0.97,0.0
MOHELA,459,58.39,1.55,0.0
"Bread Financial Holdings, Inc.",448,100.0,4.6,0.0
"CCS Financial Services, Inc.",401,82.29,2.33,0.0
Chime Financial Inc,397,100.0,1.11,0.0
"Paypal Holdings, Inc",369,100.0,2.26,0.0
DISCOVER BANK,318,100.0,0.73,0.0
"Nelnet, Inc.",316,100.0,2.59,0.0
"Fidelity National Information Services, Inc. (FNIS)",295,100.0,0.36,0.0
U.S. BANCORP,288,100.0,2.34,0.0
TD BANK US HOLDING COMPANY,286,100.0,2.47,0.0
"National Credit Systems,Inc.",280,100.0,3.23,0.0
"I.C. System, Inc.",272,100.0,0.7,0.0
"SANTANDER HOLDINGS USA, INC.",265,100.0,1.65,0.0
"Kriya Capital, LLC",264,100.0,1.29,0.0
ALLY FINANCIAL INC.,256,100.0,0.84,0.0
"Affirm Holdings, Inc",243,100.0,0.5,0.0
TRANSWORLD SYSTEMS INC,231,100.0,2.06,0.0
BARCLAYS BANK DELAWARE,228,100.0,1.44,0.0
GOLDMAN SACHS BANK USA,225,100.0,1.25,0.0
TRUIST FINANCIAL CORPORATION,216,100.0,1.81,0.0
"CAINE & WEINER COMPANY, INC.",189,100.0,0.43,0.0
Self Financial Inc.,188,100.0,3.09,0.0
"Spring Oaks Capital, LLC",186,100.0,0.79,0.0
"Shellpoint Partners, LLC",181,95.58,1.83,0.0
"Maximus Federal Services, Inc.",175,100.0,6.15,0.0
OneMain Finance Corporation,173,100.0,0.99,0.0
"Westlake Services, LLC",158,100.0,1.29,0.0
CREDIT ACCEPTANCE CORPORATION,157,100.0,0.77,0.0
PNC Bank N.A.,150,100.0,0.89,0.0
"SOFI TECHNOLOGIES, INC.",147,100.0,1.76,0.0
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",139,100.0,2.2,0.0
Kikoff Inc.,133,100.0,1.3,0.0
Servicer under contract with Federal Student Aid,126,0.0,7.73,0.0
"CLGF Holdco 1, LLC",125,100.0,2.3,0.0
"National Credit Adjusters, LLC",125,100.0,1.54,0.0
Mr. Cooper Group Inc.,124,100.0,1.48,0.0
UNITED SERVICES AUTOMOBILE ASSOCIATION,123,100.0,0.91,0.0
EdFinancial Services,121,82.64,2.95,0.0
CORELOGIC INC,119,100.0,0.43,0.0
"CITIZENS FINANCIAL GROUP, INC.",116,100.0,1.58,0.0
TrueAccord Corp.,111,100.0,1.36,0.0
Radius Global Solutions LLC,109,100.0,0.67,0.0
"Exeter Finance, LLC.",106,100.0,2.11,0.0
"ID Analytics, Inc.",101,100.0,0.01,0.0
