state,product,complaints
TX,Credit reporting or other personal consumer reports,33630
FL,Credit reporting or other personal consumer reports,32912
CA,Credit reporting or other personal consumer reports,20410
GA,Credit reporting or other personal consumer reports,17068
NY,Credit reporting or other personal consumer reports,12370
IL,Credit reporting or other personal consumer reports,9825
PA,Credit reporting or other personal consumer reports,8088
NC,Credit reporting or other personal consumer reports,7793
NJ,Credit reporting or other personal consumer reports,7143
AL,Credit reporting or other personal consumer reports,6177
LA,Credit reporting or other personal consumer reports,5464
SC,Credit reporting or other personal consumer reports,5239
MD,Credit reporting or other personal consumer reports,5226
MS,Credit reporting or other personal consumer reports,4735
MI,Credit reporting or other personal consumer reports,4497
OH,Credit reporting or other personal consumer reports,4336
VA,Credit reporting or other personal consumer reports,3861
AZ,Credit reporting or other personal consumer reports,3346
TN,Credit reporting or other personal consumer reports,3099
NV,Credit reporting or other personal consumer reports,2776
MA,Credit reporting or other personal consumer reports,2734
IN,Credit reporting or other personal consumer reports,2429
MO,Credit reporting or other personal consumer reports,2332
TX,Debt collection,2278
WA,Credit reporting or other personal consumer reports,1647
WI,Credit reporting or other personal consumer reports,1619
AR,Credit reporting or other personal consumer reports,1509
CT,Credit reporting or other personal consumer reports,1424
FL,Debt collection,1409
CO,Credit reporting or other personal consumer reports,1151
CA,Debt collection,1045
GA,Debt collection,1036
PR,Credit reporting or other personal consumer reports,1022
DE,Credit reporting or other personal consumer reports,890
OK,Credit reporting or other personal consumer reports,890
KY,Credit reporting or other personal consumer reports,867
MN,Credit reporting or other personal consumer reports,817
DC,Credit reporting or other personal consumer reports,638
CA,Credit card,560
UT,Credit reporting or other personal consumer reports,531
CA,Checking or savings account,525
IL,Debt collection,517
NY,Debt collection,508
TX,Credit card,506
RI,Credit reporting or other personal consumer reports,499
KS,Credit reporting or other personal consumer reports,473
PA,Debt collection,470
OR,Credit reporting or other personal consumer reports,468
NC,Debt collection,466
FL,Credit card,435
IA,Credit reporting or other personal consumer reports,378
SC,Debt collection,363
HI,Credit reporting or other personal consumer reports,343
FL,Checking or savings account,335
