direction,feature,coefficient
more associated with relief,"company_Kriya Capital, LLC",5.551
more associated with relief,"company_Southwest Credit Systems, L.P.",3.7894
more associated with relief,"company_Sequium Asset Solutions, LLC",3.5745
more associated with relief,company_Radius Global Solutions LLC,3.2509
more associated with relief,"company_TRANSUNION INTERMEDIATE HOLDINGS, INC.",2.5629
more associated with relief,"company_CBC Companies, Inc.",2.5396
more associated with relief,"company_The CBE Group, Inc.",2.5353
more associated with relief,"company_EQUIFAX, INC.",2.3871
more associated with relief,"company_Portfolio Recovery Associates, LLC",2.2259
more associated with relief,company_Atlanticus Services Corporation,2.2037
more associated with relief,"company_CITIBANK, N.A.",2.1637
more associated with relief,"company_Spring Oaks Capital, LLC",2.1225
more associated with relief,company_Comerica,1.9604
more associated with relief,"company_Bread Financial Holdings, Inc.",1.8084
more associated with relief,"company_Paypal Holdings, Inc",1.7444
more associated with explanation only,"company_Block, Inc.",-3.0448
more associated with explanation only,"company_Early Warning Services, LLC",-2.7202
more associated with explanation only,"company_Fidelity National Information Services, Inc. (FNIS)",-2.476
more associated with explanation only,"company_National Credit Systems,Inc.",-2.4533
more associated with explanation only,company_TRANSWORLD SYSTEMS INC,-2.3564
more associated with explanation only,"company_Affirm Holdings, Inc",-2.2553
more associated with explanation only,"company_Nelnet, Inc.",-2.0294
more associated with explanation only,company_Self Financial Inc.,-1.9672
more associated with explanation only,"company_Westlake Services, LLC",-1.7142
more associated with explanation only,"company_National Credit Adjusters, LLC",-1.6425
more associated with explanation only,company_Kikoff Inc.,-1.6144
more associated with explanation only,company_CORELOGIC INC,-1.551
more associated with explanation only,"company_Maximus Federal Services, Inc.",-1.4901
more associated with explanation only,company_TrueAccord Corp.,-1.4336
more associated with explanation only,"company_Aldous & Associates, PLLC",-1.3867
